2023-09-28 08:31:05,653.smoker_temp_producer.INFO --------------------------------------------------
2023-09-28 08:31:05,653.smoker_temp_producer.INFO Today is 2023-09-28 at 08:31 AM
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Running on: posix Darwin 19.6.0
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Python version:  3.11.4
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Python path: /Users/ashleymersman/Desktop/Streaming/streaming_06_smartsmoker/.venv
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Working dir: /Users/ashleymersman/Desktop/Streaming/streaming_06_smartsmoker
2023-09-28 08:31:05,654.smoker_temp_producer.INFO --------------------------------------------------
2023-09-28 08:31:05,823.smoker_temp_producer.INFO Header skipped
2023-09-28 08:53:06,079.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:41:15', '') to 02-food-A
2023-09-28 08:53:06,079.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:41:15', '') to 03-food-B
2023-09-28 08:53:36,082.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:42:10', '113.2') to 01-smoker
2023-09-28 08:53:36,082.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:42:10', '') to 02-food-A
2023-09-28 08:53:36,083.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:42:10', '') to 03-food-B
2023-09-28 08:54:06,086.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:42:15', '113.2') to 01-smoker
2023-09-28 08:54:06,086.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:42:15', '') to 02-food-A
2023-09-28 08:54:06,086.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:42:15', '') to 03-food-B
2023-09-28 08:54:36,091.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:43:10', '126.7') to 01-smoker
2023-09-28 08:54:36,092.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:43:10', '') to 02-food-A
2023-09-28 08:54:36,092.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:43:10', '') to 03-food-B
2023-09-28 08:55:06,095.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:43:15', '126.7') to 01-smoker
2023-09-28 08:55:06,096.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:43:15', '') to 02-food-A
2023-09-28 08:55:06,096.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:43:15', '') to 03-food-B
2023-09-28 08:55:36,100.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:44:10', '130.0') to 01-smoker
2023-09-28 08:55:36,101.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:44:10', '') to 02-food-A
2023-09-28 08:55:36,102.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:44:10', '') to 03-food-B
2023-09-28 08:56:06,104.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:44:15', '130.0') to 01-smoker
2023-09-28 08:56:06,105.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:44:15', '') to 02-food-A
2023-09-28 08:56:06,105.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:44:15', '') to 03-food-B
2023-09-28 08:56:36,110.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:45:10', '130.0') to 01-smoker
2023-09-28 08:56:36,110.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:45:10', '') to 02-food-A
2023-09-28 08:56:36,111.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:45:10', '') to 03-food-B
2023-09-28 08:57:06,111.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:45:15', '130.0') to 01-smoker
2023-09-28 08:57:06,111.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:45:15', '') to 02-food-A
2023-09-28 08:57:06,112.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:45:15', '') to 03-food-B
2023-09-28 08:57:36,116.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:46:10', '137.3') to 01-smoker
2023-09-28 08:57:36,117.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:46:10', '') to 02-food-A
2023-09-28 08:57:36,117.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:46:10', '') to 03-food-B
2023-09-28 08:58:06,122.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:46:15', '137.3') to 01-smoker
2023-09-28 08:58:06,122.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:46:15', '') to 02-food-A
2023-09-28 08:58:06,122.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:46:15', '') to 03-food-B
2023-09-28 08:58:36,127.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:47:10', '139.5') to 01-smoker
2023-09-28 08:58:36,127.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:47:10', '') to 02-food-A
2023-09-28 08:58:36,128.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:47:10', '') to 03-food-B
2023-09-28 08:59:06,132.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:47:15', '139.5') to 01-smoker
2023-09-28 08:59:06,132.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:47:15', '') to 02-food-A
2023-09-28 08:59:06,133.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:47:15', '') to 03-food-B
2023-09-28 08:59:36,137.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:48:10', '141.8') to 01-smoker
2023-09-28 08:59:36,138.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:48:10', '') to 02-food-A
2023-09-28 08:59:36,138.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:48:10', '') to 03-food-B
2023-09-28 09:00:06,142.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:48:15', '141.8') to 01-smoker
2023-09-28 09:00:06,143.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:48:15', '') to 02-food-A
2023-09-28 09:00:06,143.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:48:15', '') to 03-food-B
2023-09-28 09:00:36,148.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:49:10', '143.6') to 01-smoker
2023-09-28 09:00:36,148.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:49:10', '') to 02-food-A
2023-09-28 09:00:36,149.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:49:10', '') to 03-food-B
2023-09-28 09:01:06,153.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:49:15', '143.6') to 01-smoker
2023-09-28 09:01:06,153.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:49:15', '') to 02-food-A
2023-09-28 09:01:06,154.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:49:15', '') to 03-food-B
2023-09-28 09:01:36,156.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:50:10', '145.0') to 01-smoker
2023-09-28 09:01:36,157.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:50:10', '') to 02-food-A
2023-09-28 09:01:36,157.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:50:10', '') to 03-food-B
2023-09-28 09:02:06,161.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:50:15', '145.0') to 01-smoker
2023-09-28 09:02:06,162.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:50:15', '') to 02-food-A
2023-09-28 09:02:06,162.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:50:15', '') to 03-food-B
2023-09-28 09:02:36,167.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:51:10', '146.2') to 01-smoker
2023-09-28 09:02:36,167.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:51:10', '') to 02-food-A
2023-09-28 09:02:36,168.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:51:10', '') to 03-food-B
2023-09-28 09:03:06,172.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:51:15', '146.2') to 01-smoker
2023-09-28 09:03:06,172.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:51:15', '') to 02-food-A
2023-09-28 09:03:06,173.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:51:15', '') to 03-food-B
2023-09-28 09:03:36,177.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:52:10', '147.5') to 01-smoker
2023-09-28 09:03:36,178.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:52:10', '') to 02-food-A
2023-09-28 09:03:36,178.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:52:10', '') to 03-food-B
